query_id,reference_id,path_index,used_for_support,role,correspondence_order,reference_event,query_event,reference_onset_s,reference_offset_s,reference_pitch_semitones,query_onset_s,query_offset_s,query_pitch_semitones,mapped_reference_onset_s,mapped_reference_offset_s,mapped_reference_pitch_semitones,pitch_residual_semitones,timing_residual_s,absolute_pitch_change_semitones,onset_change_s
e08_query_b_delete_two,e08_distractor_4,0,True,maximum_candidate,0,1,0,0.29899999499320984,0.39100000262260437,7.4324846267700195,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.18000000299829408,5.432409286499023,-7.82012939453125e-05,0.0,-2.0001535415649414,-0.16499999165534973
e08_query_b_delete_two,e08_distractor_4,0,True,maximum_candidate,1,3,1,0.6290000081062317,0.7200000286102295,5.432331085205078,0.29899999499320984,0.39100000262260437,3.4323339462280273,0.29899999499320984,0.3445000011360999,3.432255744934082,7.82012939453125e-05,0.0,-1.9999971389770508,-0.33000001311302185
e08_query_b_delete_two,e08_distractor_5,0,True,maximum_candidate,0,2,0,0.46399998664855957,0.5550000071525574,5.432331085205078,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.22500000740542403,5.432331085205078,0.0,0.0,0.0,-0.32999998331069946
e08_query_b_delete_two,e08_distractor_5,0,True,maximum_candidate,1,3,1,0.6290000081062317,0.7210000157356262,3.4323339462280273,0.29899999499320984,0.39100000262260437,3.4323339462280273,0.29899999499320984,0.39099998600555264,3.4323339462280273,0.0,0.0,0.0,-0.33000001311302185
e08_query_b_delete_two,e08_distractor_5,1,False,maximum_candidate,0,1,0,0.29899999499320984,0.39100000262260437,7.4324846267700195,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.22600001096725464,5.432409286499023,-7.82012939453125e-05,0.0,-2.0001535415649414,-0.16499999165534973
e08_query_b_delete_two,e08_distractor_5,1,False,maximum_candidate,1,2,1,0.46399998664855957,0.5550000071525574,5.432331085205078,0.29899999499320984,0.39100000262260437,3.4323339462280273,0.29899999499320984,0.39000001549720764,3.432255744934082,7.82012939453125e-05,0.0,-1.9999971389770508,-0.16499999165534973
e08_query_b_delete_two,e08_reference_a,0,True,maximum_candidate,0,0,0,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.17949999868869781,5.432331204414368,-1.1920928955078125e-07,0.0,0.0,0.0
e08_query_b_delete_two,e08_reference_a,0,True,maximum_candidate,1,2,1,0.46399998664855957,0.5559999942779541,3.4323337078094482,0.29899999499320984,0.39100000262260437,3.4323339462280273,0.29899999499320984,0.3449999988079071,3.432333827018738,1.1920928955078125e-07,0.0,2.384185791015625e-07,-0.16499999165534973
e08_query_b_delete_two,e08_reference_b,0,True,true_source,0,0,0,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.22499999403953552,5.432331204414368,-1.1920928955078125e-07,0.0,0.0,0.0
e08_query_b_delete_two,e08_reference_b,0,True,true_source,1,1,1,0.29899999499320984,0.39100000262260437,3.4323337078094482,0.29899999499320984,0.39100000262260437,3.4323339462280273,0.29899999499320984,0.39100000262260437,3.432333827018738,1.1920928955078125e-07,0.0,2.384185791015625e-07,0.0
e08_query_b_merged,e08_distractor_0,0,True,maximum_candidate,0,0,0,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.270499997608589,5.432331085205078,0.0,0.0,0.0,0.0
e08_query_b_merged,e08_distractor_0,0,True,maximum_candidate,1,2,2,0.46399998664855957,0.5559999942779541,11.43239688873291,0.6290000081062317,0.7210000157356262,11.43239688873291,0.6290000081062317,0.7670000278588508,11.43239688873291,0.0,0.0,0.0,0.16500002145767212
e08_query_b_merged,e08_distractor_1,0,True,maximum_candidate,0,2,0,0.46399998664855957,0.5550000071525574,5.432331085205078,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.40700003197698575,5.432331085205078,0.0,0.0,0.0,-0.32999998331069946
e08_query_b_merged,e08_distractor_1,0,True,maximum_candidate,1,3,2,0.6290000081062317,0.7210000157356262,11.43239688873291,0.6290000081062317,0.7210000157356262,11.43239688873291,0.6290000081062317,0.9049999977603118,11.43239688873291,0.0,0.0,0.0,0.0
e08_query_b_merged,e08_distractor_2,0,True,maximum_candidate,0,1,0,0.29899999499320984,0.38999998569488525,5.432331085205078,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.27049998528126573,5.432331085205078,0.0,0.0,0.0,-0.16499999165534973
e08_query_b_merged,e08_distractor_2,0,True,maximum_candidate,1,3,2,0.6290000081062317,0.7210000157356262,11.43239688873291,0.6290000081062317,0.7210000157356262,11.43239688873291,0.6290000081062317,0.7670000153960602,11.43239688873291,0.0,0.0,0.0,0.0
e08_query_b_merged,e08_distractor_3,0,True,maximum_candidate,0,1,0,0.29899999499320984,0.38999998569488525,5.432331085205078,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.4069999918793179,5.432331085205078,0.0,0.0,0.0,-0.16499999165534973
e08_query_b_merged,e08_distractor_3,0,True,maximum_candidate,1,2,2,0.46399998664855957,0.5559999942779541,11.43239688873291,0.6290000081062317,0.7210000157356262,11.43239688873291,0.6290000081062317,0.9050000476114699,11.43239688873291,0.0,0.0,0.0,0.16500002145767212
e08_query_b_merged,e08_reference_a,0,True,maximum_candidate,0,0,0,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.4069999918793179,5.432331085205078,0.0,0.0,0.0,0.0
e08_query_b_merged,e08_reference_a,0,True,maximum_candidate,1,1,2,0.29899999499320984,0.39100000262260437,11.43239688873291,0.6290000081062317,0.7210000157356262,11.43239688873291,0.6290000081062317,0.9050000476114699,11.43239688873291,0.0,0.0,0.0,0.33000001311302185
e08_query_b_merged,e08_reference_b,0,True,true_source,0,0,0,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.22499999403953552,5.432331085205078,0.1340000033378601,0.22499999403953552,5.432331085205078,0.0,0.0,0.0,0.0
e08_query_b_merged,e08_reference_b,0,True,true_source,1,3,2,0.6290000081062317,0.7210000157356262,11.43239688873291,0.6290000081062317,0.7210000157356262,11.43239688873291,0.6290000081062317,0.7210000157356262,11.43239688873291,0.0,0.0,0.0,0.0
e12_query_a_delete_two,e12_distractor_0,0,True,maximum_candidate,0,0,0,0.1340000033378601,0.22499999403953552,9.474021911621094,0.1340000033378601,0.22599999606609344,9.474021911621094,0.1340000033378601,0.16433333174548187,9.474021911621094,0.0,-1.3877787807814457e-17,0.0,0.0
e12_query_a_delete_two,e12_distractor_0,0,True,maximum_candidate,1,3,1,0.6290000081062317,0.7200000286102295,4.474023818969727,0.29899999499320984,0.39100000262260437,4.474023818969727,0.29899999499320984,0.32933333333493847,4.474023818969727,0.0,0.0,0.0,-0.33000001311302185
