split,length,family,n_available,feature,mean_raw_feature,mean_logit_contribution,frozen_intercept,mean_reconstructed_logit
calibration,4,delete_rest,2,query_log,1.3862943611198906,0.8994919912677667,-7.356364000313694,3.500425487205315
calibration,4,delete_two,2,cost,0.35,0.0037492927973327137,-7.356364000313694,1.0292247145785138
calibration,4,delete_two,2,matched_log,1.0986122886681098,-0.49579030343930713,-7.356364000313694,1.0292247145785138
calibration,4,delete_two,2,reference_coverage,0.5,-0.5689948890165639,-7.356364000313694,1.0292247145785138
calibration,4,delete_two,2,query_coverage,1.0,2.2784448194846703,-7.356364000313694,1.0292247145785138
calibration,4,delete_two,2,mean_pitch_loss,0.0,0.001650201694551244,-7.356364000313694,1.0292247145785138
calibration,4,delete_two,2,exact_pitch_fraction,1.0,3.369081528900875,-7.356364000313694,1.0292247145785138
calibration,4,delete_two,2,mean_timing_loss,0.0,0.0018249668582446337,-7.356364000313694,1.0292247145785138
calibration,4,delete_two,2,missing_fraction,0.5,-0.5689948890165688,-7.356364000313694,1.0292247145785138
calibration,4,delete_two,2,inserted_fraction,0.0,2.27844481948467,-7.356364000313694,1.0292247145785138
calibration,4,delete_two,2,unreliable_query_fraction,0.0,0.0814702909182707,-7.356364000313694,1.0292247145785138
calibration,4,delete_two,2,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,1.0292247145785138
calibration,4,delete_two,2,query_log,1.0986122886681098,1.3537238655284018,-7.356364000313694,1.0292247145785138
calibration,4,detune,2,cost,0.05613825619220734,0.004775130369399333,-7.356364000313694,2.3935285383201004
calibration,4,detune,2,matched_log,1.6094379124341003,0.017125011141894908,-7.356364000313694,2.3935285383201004
calibration,4,detune,2,reference_coverage,1.0,2.06696792769612,-7.356364000313694,2.3935285383201004
calibration,4,detune,2,query_coverage,1.0,2.2784448194846703,-7.356364000313694,2.3935285383201004
calibration,4,detune,2,mean_pitch_loss,0.05613825619220734,0.001553333422539352,-7.356364000313694,2.3935285383201004
calibration,4,detune,2,exact_pitch_fraction,0.75,-0.24582307640016554,-7.356364000313694,2.3935285383201004
calibration,4,detune,2,mean_timing_loss,0.0,0.0018249668582446337,-7.356364000313694,2.3935285383201004
calibration,4,detune,2,missing_fraction,0.0,2.0669679276961337,-7.356364000313694,2.3935285383201004
calibration,4,detune,2,inserted_fraction,0.0,2.27844481948467,-7.356364000313694,2.3935285383201004
calibration,4,detune,2,unreliable_query_fraction,0.0,0.0814702909182707,-7.356364000313694,2.3935285383201004
calibration,4,detune,2,reference_log,1.6094379124341003,0.6509790106976309,-7.356364000313694,2.3935285383201004
calibration,4,detune,2,query_log,1.6094379124341003,0.5471623772643888,-7.356364000313694,2.3935285383201004
calibration,4,exact,2,cost,0.0,0.004971102569407562,-7.356364000313694,6.00872598409316
calibration,4,exact,2,matched_log,1.6094379124341003,0.017125011141894908,-7.356364000313694,6.00872598409316
calibration,4,exact,2,reference_coverage,1.0,2.06696792769612,-7.356364000313694,6.00872598409316
calibration,4,exact,2,query_coverage,1.0,2.2784448194846703,-7.356364000313694,6.00872598409316
calibration,4,exact,2,mean_pitch_loss,0.0,0.001650201694551244,-7.356364000313694,6.00872598409316
calibration,4,exact,2,exact_pitch_fraction,1.0,3.369081528900875,-7.356364000313694,6.00872598409316
calibration,4,exact,2,mean_timing_loss,0.0,0.0018249668582446337,-7.356364000313694,6.00872598409316
calibration,4,exact,2,missing_fraction,0.0,2.0669679276961337,-7.356364000313694,6.00872598409316
calibration,4,exact,2,inserted_fraction,0.0,2.27844481948467,-7.356364000313694,6.00872598409316
calibration,4,exact,2,unreliable_query_fraction,0.0,0.0814702909182707,-7.356364000313694,6.00872598409316
